132    80,887,-1467,-1745,1C,1564,-321,818,FF,0,0,0,FF,0,0,0,D1,-1,30,-21
135    80,1160,-1082,-1789,F7,2039,570,647,FF,0,0,0,FF,0,0,0,D1,-1,30,-21
138    80,1433,-676,-1838,C7,2247,1014,569,FF,0,0,0,FF,0,0,0,D1,-1,30,-20
141    80,1904,70,-1922,6D,2413,1410,508,FF,0,0,0,FF,0,0,0,D1,0,27,-22
144    80,2066,359,-1929,DC,2524,1725,468,FF,0,0,0,FF,0,0,0,D1,0,27,-22
147    80,2157,558,-1932,13,2579,1930,451,FF,0,0,0,FF,0,0,0,D1,1,29,-22
150    80,2182,668,-1905,06,2566,2018,478,FF,0,0,0,FF,0,0,0,D1,1,29,-22
153    80,2141,668,-1851,CA,2506,1985,540,FF,0,0,0,FF,0,0,0,D1,0,29,-21
156    80,2046,558,-1778,CA,2259,1588,731,FF,0,0,0,FF,0,0,0,D1,1,28,-20
159    80,1913,355,-1685,36,2102,1271,855,FF,0,0,0,FF,0,0,0,D1,1,28,-20
162    80,1562,-230,-1458,9C,1948,903,995,FF,0,0,0,FF,0,0,0,D1,3,28,-20
165    80,1385,-569,-1357,15,1813,518,1125,FF,0,0,0,FF,0,0,0,D1,3,28,-20
168    80,1238,-896,-1261,AA,1706,153,1250,FF,0,0,0,FF,0,0,0,D1,1,28,-22
171    80,1121,-1204,-1189,64,1636,-166,1341,FF,0,0,0,FF,0,0,0,D1,1,28,-22
174    80,1039,-1453,-1149,3C,1596,-416,1402,FF,0,0,0,FF,0,0,0,D1,1,28,-22
177    80,995,-1638,-1141,3E,1631,-655,1396,FF,0,0,0,FF,0,0,0,D1,0,29,-22
180    80,985,-1740,-1181,93,1683,-638,1332,FF,0,0,0,FF,0,0,0,D1,0,29,-22
183    80,1006,-1754,-1248,CB,1739,-529,1223,FF,0,0,0,FF,0,0,0,D1,1,28,-22
186    80,1091,-1557,-1462,F8,1784,-348,1093,FF,0,0,0,FF,0,0,0,D1,1,28,-22
189    80,1115,-1370,-1609,12,1810,-117,935,FF,0,0,0,FF,0,0,0,D1,1,29,-22
192    80,1131,-1140,-1754,11,1809,146,770,FF,0,0,0,FF,0,0,0,D1,1,28,-22
